Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
audi q7,15978,0.451489826,Positive,audi q7,Pacific Rim,2006 audi q7,1,audi q7,30,"$101,802,906 ",Warner Bros.,2013,0,3,3,30,1
audi r8,813,0.013715711,Positive,audi r8,The Wolverine,2010 audi r8 spyder,3,audi r8,21,"$132,556,852 ",Twentieth Century Fox,2013,1,2,3,21,3
audi tt,2053,-0.07771788,Negative,audi tt,Percy Jackson: Sea of Monsters,2008 audi tt,1,audi tt,52,"$68,481,744 ",Twentieth Century Fox,2013,0,3,3,52,1
bmw 1-series,7220,-0.060996228,Negative,bmw 1-series,A Good Day to Die Hard,2007 bmw 1 [e87],1,bmw 1,54,"$67,349,198 ",Twentieth Century Fox,2013,0,2,2,54,1
bmw 3-series,119521,0.199985944,Positive,bmw 3-series,Now You See Me,2012 bmw 335i [f30],3,bmw 3,23,"$117,723,989 ",Lionsgate,2013,1,15,16,23,3
bmw 5-series,56863,0.001144406,Positive,bmw 5-series,Fast & Furious 6,2010 bmw 5 [e60],3,bmw 5,8,"$238,679,850 ",Universal Pictures,2013,3,11,14,8,3
bmw 6-series,9762,0.189327485,Positive,bmw 6-series,Olympus Has Fallen,1988 bmw 635 csi [e24],1,bmw 6,33,"$98,925,640 ",FilmDistrict,2013,0,2,2,33,1
bmw 7-series,10932,-0.01495765,Negative,bmw 7-series,Pain & Gain,1993 bmw 750il [e32],3,bmw 7,69,"$49,875,291 ",Paramount Pictures,2013,1,5,6,69,3
bmw x1,26512,1.963227898,Positive,0,,,,,,,,2013,,,,,
bmw x3,30623,-0.129360589,Negative,bmw x3,Side Effects,2004 bmw x3 [e83],3,bmw x3,91,"$32,172,757 ",Open Road Films (II),2013,1,1,2,91,3
bmw x5,39818,-0.104106199,Negative,bmw x5,Fast & Furious 6,2004 bmw x5 [e53],1,bmw x5,8,"$238,679,850 ",Universal Pictures,2013,0,8,8,8,1
bmw x6,5549,-0.177804119,Negative,bmw x6,R.I.P.D.,bmw x6 [e71],1,bmw x6,87,"$33,618,855 ",Universal Pictures,2013,0,2,2,87,1
bmw z4,2480,-0.098509633,Negative,bmw z4,Warm Bodies,2010 bmw z4 [e89],4,bmw z4,55,"$66,380,662 ",Lionsgate,2013,1,0,1,55,4
buick enclave,60534,0.067562563,Positive,0,,,,,,,,2013,,,,,
buick lacrosse,48798,-0.145034691,Negative,buick lacrosse,Parental Guidance,2010 buick lacrosse,2,buick lacrosse,77,"$43,273,946 ",Twentieth Century Fox,2013,0,1,1,77,2
buick lucerne,9,-0.990731205,Negative,0,,,,,,,,2013,,,,,
buick regal,18685,-0.240940851,Negative,0,,,,,,,,2013,,,,,
buick verano,45527,0.1092783,Positive,0,,,,,,,,2013,,,,,
cadillac ats,38319,4.467893836,Positive,0,,,,,,,,2013,,,,,
cadillac cts,32343,-0.311543456,Negative,cadillac cts,Mama,2003 cadillac cts,2,cadillac cts,48,"$71,628,180 ",Universal Pictures,2013,0,3,3,48,2
cadillac dts,19,-0.959139785,Negative,cadillac dts,Olympus Has Fallen,2006 cadillac dts stretched limousine,2,cadillac dts,33,"$98,925,640 ",FilmDistrict,2013,0,4,4,33,2
cadillac escalade,22514,-0.005213856,Negative,cadillac escalade,The Heat,2003 cadillac escalade,2,cadillac escalade,15,"$159,582,188 ",Twentieth Century Fox,2013,0,9,9,15,2
cadillac srx,56776,-0.012333652,Negative,cadillac srx,Prisoners,2010 cadillac srx,1,cadillac srx,60,"$61,002,302 ",Warner Bros.,2013,0,2,2,60,1
cadillac sts,7,-0.957317073,Negative,cadillac sts,Last Vegas,2006 cadillac sts,3,cadillac sts,58,"$62,791,595 ",CBS Films,2013,1,0,1,58,3
cadillac xts,32559,1.163532461,Positive,0,,,,,,,,2013,,,,,
chevrolet avalanche,16526,-0.311273182,Negative,chevrolet avalanche,G.I. Joe: Retaliation,2010 chevrolet avalanche,3,chevrolet avalanche,22,"$122,523,060 ",Paramount Pictures,2013,1,2,3,22,3
chevrolet aveo,2,-0.970149254,Negative,chevrolet aveo,Grown Ups 2,2011 chevrolet aveo,1,chevrolet aveo,20,"$133,668,525 ",Sony Pictures Entertainment (SPE),2013,0,3,3,20,1
chevrolet camaro,80567,-0.045312889,Negative,chevrolet camaro,Grown Ups 2,2011 chevrolet camaro,2,chevrolet camaro,20,"$133,668,525 ",Sony Pictures Entertainment (SPE),2013,0,6,6,20,2
chevrolet caprice ppv,3899,0.044188538,Positive,chevrolet caprice ppv,The Heat,2011 chevrolet caprice ppv,2,chevrolet caprice ppv,15,"$159,582,188 ",Twentieth Century Fox,2013,0,1,1,15,2
chevrolet captiva sport,47600,0.288750508,Positive,0,,,,,,,,2013,,,,,
chevrolet colorado,3412,-0.907383279,Negative,chevrolet colorado,World War Z,2010 chevrolet colorado,1,chevrolet colorado,12,"$202,359,711 ",Paramount Pictures,2013,0,2,2,12,1
chevrolet corvette,17291,0.223535239,Positive,chevrolet corvette,Turbo,2014 chevrolet corvette stingray c7,2,chevrolet corvette,43,"$83,028,128 ",Twentieth Century Fox,2013,0,3,3,43,2
chevrolet cruze,248224,0.044019549,Positive,chevrolet cruze,Iron Man 3,2011 chevrolet cruze,1,chevrolet cruze,1,"$409,013,994 ",Walt Disney Studios Motion Pictures,2013,0,5,5,1,1
