Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
No Strings Attached,No Strings Attached,2011,R,21 Jan 2011,108 min,"Comedy, Romance",Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes","USA, UK",2 wins & 6 nominations.,49%,50,6.2,"214,879",tt1411238,2011
Mr. Popper's Penguins,Mr. Popper's Penguins,2011,PG,17 Jun 2011,94 min,"Comedy, Family, Fantasy",Mark Waters,"Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond",USA,1 win & 3 nominations.,47%,53,6.0,"88,727",tt1396218,2011
Black Swan,Black Swan,2010,R,17 Dec 2010,108 min,"Drama, Thriller",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",USA,Won 1 Oscar. Another 97 wins & 277 nominations.,85%,79,8.0,"702,201",tt0947798,2011
Little Fockers,Little Fockers,2010,PG-13,22 Dec 2010,98 min,"Comedy, Romance",Paul Weitz,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman",USA,3 wins & 5 nominations.,9%,27,5.5,"106,946",tt0970866,2011
Unknown,Unknown,2011,PG-13,18 Feb 2011,113 min,"Action, Mystery, Thriller",Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn","UK, Germany, France, USA",3 nominations.,55%,56,6.8,"250,249",tt1401152,2011
The Adjustment Bureau,The Adjustment Bureau,2011,PG-13,04 Mar 2011,106 min,"Romance, Sci-Fi, Thriller",George Nolfi,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner",USA,1 win & 9 nominations.,71%,60,7.0,"245,217",tt1385826,2011
Happy Feet Two,Happy Feet Two,2011,PG,18 Nov 2011,100 min,"Animation, Adventure, Comedy, Family, Musical","George Miller, Gary Eck(co-director), David Peers(co-director)","Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez","Australia, USA, Antarctica, New Zealand",3 wins & 9 nominations.,45%,50,5.9,"42,098",tt1402488,2011
Water for Elephants,Water for Elephants,2011,PG-13,22 Apr 2011,120 min,"Drama, Romance",Francis Lawrence,"Reese Witherspoon, Robert Pattinson, Christoph Waltz, Paul Schneider",USA,3 wins & 13 nominations.,60%,52,6.9,"111,736",tt1067583,2011
The Lincoln Lawyer,The Lincoln Lawyer,2011,R,18 Mar 2011,118 min,"Crime, Drama, Mystery, Thriller",Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",USA,1 nomination.,83%,63,7.3,"216,523",tt1189340,2011
Midnight in Paris,Midnight in Paris,2011,PG-13,10 Jun 2011,94 min,"Comedy, Fantasy, Romance",Woody Allen,"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy","Spain, USA, France",Won 1 Oscar. Another 25 wins & 102 nominations.,93%,81,7.7,"391,127",tt1605783,2011
Friends with Benefits,Friends with Benefits,2011,R,22 Jul 2011,109 min,"Comedy, Romance",Will Gluck,"Justin Timberlake, Mila Kunis, Patricia Clarkson, Jenna Elfman",USA,1 win & 5 nominations.,68%,63,6.5,"341,845",tt1632708,2011
I Am Number Four,I Am Number Four,2011,PG-13,18 Feb 2011,111 min,"Action, Adventure, Sci-Fi, Thriller",D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron","USA, India",1 win & 1 nomination.,33%,36,6.1,"228,172",tt1464540,2011
Source Code,Source Code,2011,PG-13,01 Apr 2011,93 min,"Action, Drama, Mystery, Sci-Fi, Thriller",Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright","USA, Canada, France, Germany",1 win & 8 nominations.,92%,74,7.5,"487,091",tt0945513,2011
The Fighter,The Fighter,2010,R,17 Dec 2010,116 min,"Biography, Drama, Sport",David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",USA,Won 2 Oscars. Another 71 wins & 124 nominations.,90%,79,7.8,"342,968",tt0964517,2011
TRON: Legacy,TRON: Legacy,2010,PG,17 Dec 2010,125 min,"Action, Adventure, Sci-Fi",Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",USA,Nominated for 1 Oscar. Another 10 wins & 49 nominations.,51%,49,6.8,"314,854",tt1104001,2011
Insidious,Insidious,2010,PG-13,01 Apr 2011,103 min,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye","USA, Canada",8 wins & 15 nominations.,66%,52,6.8,"280,479",tt1591095,2011
Madea's Big Happy Family,Madea's Big Happy Family,2011,PG-13,22 Apr 2011,106 min,"Comedy, Drama",Tyler Perry,"Tyler Perry, Loretta Devine, Cassi Davis, Shannon Kane",USA,1 win & 1 nomination.,38%,45,4.7,"7,548",tt1787759,2011
Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Rodrick Rules,2011,PG,25 Mar 2011,99 min,"Comedy, Family",David Bowers,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron",USA,2 wins & 5 nominations.,47%,51,6.5,"26,455",tt1650043,2011
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2011,R,21 Dec 2011,158 min,"Crime, Drama, Mystery, Thriller",David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård","USA, Sweden, Norway",Won 1 Oscar. Another 26 wins & 91 nominations.,87%,71,7.8,"426,757",tt1568346,2011
Hugo,Hugo,2011,PG,23 Nov 2011,126 min,"Drama, Family, Fantasy, Mystery",Martin Scorsese,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz","UK, USA, France",Won 5 Oscars. Another 56 wins & 191 nominations.,93%,83,7.5,"305,923",tt0970179,2011
The Dilemma,The Dilemma,2011,PG-13,14 Jan 2011,111 min,"Comedy, Drama",Ron Howard,"Vince Vaughn, Kevin James, Jennifer Connelly, Winona Ryder",USA,1 nomination.,24%,46,5.3,"52,010",tt1578275,2011
Arthur Christmas,Arthur Christmas,2011,PG,23 Nov 2011,97 min,"Animation, Adventure, Comedy, Family, Fantasy","Sarah Smith, Barry Cook(co-director)","James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent","UK, USA, Ireland, France, Canada",Nominated for 1 Golden Globe. Another 3 wins & 22 nominations.,92%,69,7.1,"52,991",tt1430607,2011
Hall Pass,Hall Pass,2011,R,25 Feb 2011,105 min,"Comedy, Romance","Bobby Farrelly, Peter Farrelly","Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate",USA,N/A,33%,45,5.8,"120,321",tt0480687,2011
New Year's Eve,New Year's Eve,2011,PG-13,09 Dec 2011,118 min,"Comedy, Romance",Garry Marshall,"Michelle Pfeiffer, Zac Efron, Charlotte Marshall-Fricker, Fiona Choi",USA,2 wins & 8 nominations.,7%,22,5.7,"82,471",tt1598822,2011
Soul Surfer,Soul Surfer,2011,PG,08 Apr 2011,112 min,"Biography, Drama, Family, Sport",Sean McNamara,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood",USA,2 wins & 12 nominations.,45%,53,7.0,"45,980",tt1596346,2011
