Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bentley Mulsanne,,,,,,,194.0,153.0,98.0,,,
Buick Cascada,,,,,,,0.0,7153.0,5595.0,4628.0,2535.0,12.0
Buick Enclave,43150.0,55426.0,58392.0,56703.0,60534.0,62300.0,62081.0,52028.0,48564.0,49648.0,51156.0,38479.0
Buick Encore,,,,0.0,31956.0,48892.0,67549.0,78565.0,88035.0,93071.0,102401.0,44353.0
Buick Encore GX,,,,,,,,,,,0.0,42240.0
Buick Envision,,,,,,,0.0,14193.0,41040.0,30153.0,33230.0,34943.0
Buick LaCrosse,27818.0,61178.0,58474.0,57076.0,48798.0,51468.0,42035.0,27582.0,20161.0,15527.0,7241.0,229.0
Buick Lucerne,31292.0,26459.0,20358.0,971.0,9.0,0.0,,,,,,
Buick Regal,0.0,12326.0,40144.0,24616.0,18685.0,22560.0,19504.0,19833.0,11559.0,14117.0,10363.0,2493.0
Buick Verano,,0.0,265.0,41042.0,45527.0,43743.0,31886.0,30277.0,4277.0,,,
Cadillac ATS,,,0.0,7008.0,38319.0,29890.0,26873.0,21505.0,13100.0,10860.0,1134.0,115.0
Cadillac CT4,,,,,,,,,,,0.0,4888.0
Cadillac CT5,,,,,,,,,,0.0,43.0,14712.0
Cadillac CT6,,,,,,,0.0,9169.0,10542.0,9669.0,7952.0,3117.0
Cadillac CTS,38817.0,45656.0,55042.0,46979.0,32343.0,31115.0,19485.0,15911.0,10344.0,11220.0,6966.0,611.0
Cadillac DTS,17330.0,18640.0,11589.0,465.0,19.0,0.0,,,,,,
Cadillac ELR,,,,0.0,6.0,1310.0,1024.0,534.0,17.0,,,
Cadillac Escalade,25884.0,26874.0,25503.0,22632.0,22514.0,30522.0,35923.0,39092.0,37694.0,36032.0,35424.0,24545.0
Cadillac Escalade,25884.0,26874.0,25503.0,12615.0,22514.0,30522.0,35923.0,39092.0,37694.0,36032.0,35424.0,24545.0
Cadillac Escalade *,,,,12615.0,12592.0,19482.0,21230.0,23604.0,,,,
Cadillac Escalade ESV,,,8388.0,8083.0,,,,,,,,
Cadillac Escalade ESV *,,,,8083.0,7950.0,10987.0,14691.0,15488.0,,,,
Cadillac Escalade EXT,,,2036.0,1934.0,,,,,,,,
Cadillac Escalade EXT *,,,,1934.0,1972.0,53.0,2.0,0.0,,,,
Cadillac SRX,20237.0,51094.0,56905.0,57485.0,56776.0,53578.0,68850.0,22139.0,156.0,,,
Cadillac STS,6037.0,4473.0,3338.0,164.0,7.0,0.0,,,,,,
Cadillac XLR,787.0,188.0,12.0,,,,,,,,,
Cadillac XT4,,,,,,,,,0.0,7785.0,31987.0,22473.0
Cadillac XT5,,,,,,,0.0,39485.0,68312.0,60566.0,49878.0,35224.0
Cadillac XT6,,,,,,,,,,0.0,11560.0,22610.0
Cadillac XTS,,,0.0,15049.0,32559.0,24335.0,23112.0,22171.0,16275.0,17729.0,11306.0,1200.0
Chevrolet Avalanche,16432.0,20515.0,20088.0,23995.0,16526.0,92.0,8.0,0.0,,,,
Chevrolet Aveo,38516.0,48623.0,28601.0,67.0,2.0,0.0,,,,,,
Chevrolet Aveo/Sonic,,48623.0,44379.0,,,,,,,,,
Chevrolet Blazer,,,,,,,,,0.0,27.0,58116.0,94598.0
Chevrolet Bolt,,,,,,,0.0,579.0,23297.0,18020.0,16419.0,20753.0
Chevrolet Camaro,61648.0,81299.0,88249.0,84391.0,80567.0,86297.0,77502.0,72705.0,67940.0,50963.0,48266.0,29777.0
Chevrolet Caprice,,0.0,880.0,,,,,,,,,
Chevrolet Caprice PPV,,,880.0,3734.0,3899.0,3727.0,1845.0,1021.0,693.0,,,
Chevrolet Captiva Sport,,0.0,7038.0,36935.0,47600.0,35368.0,55.0,2.0,,,,
Chevrolet City Express,,,,,0.0,530.0,10283.0,7019.0,8348.0,,,
Chevrolet Cobalt,104724.0,97376.0,856.0,11.0,0.0,,,,,,,
Chevrolet Colorado,32413.0,24642.0,31026.0,36840.0,3412.0,8003.0,84430.0,108725.0,112996.0,134842.0,121703.0,96236.0
Chevrolet Corvette,13934.0,12624.0,13164.0,14132.0,17291.0,34839.0,33329.0,29995.0,25079.0,18789.0,17988.0,21627.0
Chevrolet Cruze,0.0,24495.0,231732.0,237758.0,248224.0,273060.0,226602.0,188876.0,184751.0,142618.0,47975.0,783.0
Chevrolet Equinox,86148.0,149979.0,193274.0,218621.0,238192.0,242242.0,277589.0,242195.0,290458.0,332621.0,346049.0,270994.0
Chevrolet Express,,,,,79087.0,79352.0,63382.0,68007.0,69164.0,66963.0,77457.0,55040.0
Chevrolet HHR,70842.0,75401.0,37012.0,21.0,3.0,0.0,,,,,,
Chevrolet Impala,165565.0,172078.0,171434.0,169351.0,156797.0,140280.0,116825.0,97006.0,75877.0,56557.0,44978.0,9943.0
Chevrolet Malibu,161568.0,198770.0,204808.0,210951.0,200594.0,188519.0,194854.0,227881.0,185857.0,144542.0,120302.0,102652.0
Chevrolet SS,,,,0.0,418.0,2479.0,2895.0,3013.0,4055.0,,,
Chevrolet Silverado,316544.0,370135.0,415130.0,418312.0,480414.0,529755.0,600544.0,574876.0,585864.0,585582.0,575569.0,593057.0
Chevrolet Sonic,,,15778.0,81247.0,85646.0,93518.0,64775.0,55255.0,30290.0,20613.0,13970.0,13007.0
Chevrolet Sonic/Aveo,,,44379.0,81314.0,,,,,,,,
Chevrolet Spark,,,0.0,12385.0,34130.0,39159.0,32853.0,35511.0,22589.0,23603.0,31280.0,33480.0
Chevrolet Suburban,41055.0,45152.0,49427.0,48116.0,51260.0,55009.0,50866.0,60082.0,56516.0,60633.0,51928.0,33644.0
Chevrolet Tahoe,73254.0,75675.0,80527.0,68904.0,83502.0,97726.0,88342.0,103306.0,98961.0,104152.0,101189.0,88237.0
Chevrolet TrailBlazer,8829.0,218.0,33.0,,,,,,,,0.0,34292.0
Chevrolet Traverse,91074.0,106744.0,107131.0,85606.0,96467.0,103943.0,119945.0,116701.0,123506.0,146264.0,147122.0,125546.0
Chevrolet Trax,,,,,0.0,739.0,63030.0,79016.0,79289.0,89917.0,116817.0,106299.0
Chevrolet Uplander,1758.0,76.0,,,,,,,,,,
Chevrolet Volt,0.0,326.0,7671.0,23461.0,23094.0,18805.0,15393.0,24739.0,20349.0,18306.0,4911.0,68.0
Chrysler 200,0.0,255.0,89413.0,125476.0,122480.0,117363.0,177889.0,57294.0,18457.0,1043.0,48.0,9.0
Chrysler 200,0.0,255.0,87033.0,125476.0,122480.0,117363.0,177889.0,57294.0,18457.0,1043.0,48.0,9.0
Chrysler 200/Sebring,,35585.0,89413.0,,,,,,,,,
Chrysler 300,38606.0,37116.0,36285.0,70747.0,57724.0,53382.0,53109.0,53241.0,51237.0,46593.0,29214.0,16473.0
Chrysler Aspen,5996.0,30.0,,,,,,,,,,
Chrysler PT Cruiser,17941.0,9440.0,1328.0,,,,,,,,,
Chrysler Pacifica,,,,,,,0.0,62366.0,118274.0,118322.0,97706.0,84113.0
Chrysler Sebring,27460.0,38330.0,2380.0,0.0,,,,,,,,
Chrysler Sebring/200,27460.0,38585.0,,,,,,,,,,
Chrysler Town & Country,84558.0,112275.0,94320.0,111744.0,122288.0,138040.0,93848.0,59071.0,577.0,,,
Chrysler Town and Country,,,,,,,,,,,0.0,9690.0
Dodge (SRT) Viper ¹,,,,20.0,591.0,,,,,,,
Dodge Avenger,38922.0,50923.0,64023.0,96890.0,93842.0,51705.0,1268.0,45.0,14.0,,,
Dodge Caliber,36098.0,45082.0,35049.0,10176.0,45.0,0.0,,,,,,
Dodge Challenger,25852.0,36791.0,39534.0,43119.0,51462.0,51611.0,66365.0,64433.0,64537.0,66716.0,60997.0,52955.0
Dodge Charger,60651.0,75397.0,70089.0,82592.0,98336.0,94099.0,94725.0,95437.0,88351.0,80226.0,96936.0,77426.0
Dodge Dakota,10690.0,13047.0,12156.0,490.0,0.0,,,,,,,
