Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GMC Acadia,53820,68295,79288,78280,89793,83972,96393,88466,111276,88622,99430,72538
GMC Canyon,10107,7992,9590,8735,929,3070,30077,37449,32106,33493,32826,25191
GMC Envoy,4857,84,5,,,,,,,,,
GMC Savana,,,,,16705,26641,21992,20607,29679,19685,24227,15108
GMC Sierra,111842,129794,149170,157185,184389,211833,224139,221680,217943,219554,232325,253014
GMC Terrain,14033,60519,83179,97786,99525,105016,112030,87925,85441,114311,101470,86020
GMC Torrent,9638,68,,,,,,,,,,
GMC Yukon,29411,28781,34250,27818,28302,41569,42732,53447,49183,74678,74672,63442
GMC Yukon XL,16819,23797,25223,23427,31258,29752,31334,37054,35059,,,
Genesis G70,,,,,,,,,,358,11903,9436
Genesis G80,,,,,,,,6166,16196,7446,7095,3359
Genesis G90,,,,,,,,782,4398,2136,2239,2072
Genesis GV80,,,,,,,,,,,,1517
Honda Accord,290056,311381,235625,331872,366678,388374,355557,345225,322655,291071,267567,199458
Honda CR-V,191214,203714,218373,281652,303904,335019,345647,357335,377895,379021,384168,323502
Honda CR-Z,0,5249,11330,4192,4550,3562,3073,2338,705,30,0,552
Honda Civic,259722,260218,221235,317909,336180,325981,335384,366927,377286,325760,325650,261225
Honda Clarity FCV,,,,,,,,8,2455,20174,11654,3664
Honda Crosstour,,,17974,20848,16847,11802,9104,726,5,,,
Honda Element,14884,14247,11534,3,2,0,,,,,,
Honda FCX,5,17,2,5,10,2,2,8,,,,
Honda Fit,67315,54354,59235,49346,53513,59340,52724,56630,49454,35030,35414,32488
Honda HR-V,,,,,,,41969,82041,94034,85494,99104,84027
Honda Insight,20572,20962,15549,5846,4802,3965,1458,67,3,12513,23686,15932
Honda Odyssey,100133,108182,107068,125980,128987,122738,127736,120846,100307,106327,99113,83409
Honda Passport,,,,,,,,,,,36285,39567
Honda Pilot,83901,102323,116297,114848,126678,108857,136212,120772,127279,159615,135008,123813
Honda Ridgeline,16464,16142,9759,14068,17723,13389,520,23667,34749,30592,33334,32168
Honda S2000,795,85,5,0,2,,,,,,,
Hummer H2,1513,151,,,,,,,,,,
Hummer H3,7533,3661,,,,,,,,,,
Hyundai Accent,68086,51975,55601,61004,60458,63309,61486,79766,58955,29090,25628,15975
Hyundai Azera,3808,3051,1524,8431,11221,7232,5539,4942,3060,629,,
Hyundai Elantra,103269,132246,186361,202034,247912,222023,241706,208319,198210,200415,175094,105475
Hyundai Equus,,196,3193,3972,3578,3415,2332,1361,20,,,
Hyundai Genesis,21889,29122,32998,33973,32330,29992,31374,23230,1152,,,
Hyundai Ioniq,,,,,,,,,11197,15076,19574,13570
Hyundai Kona,,,,,,,,,,47090,73326,76253
Hyundai Nexo,,,,,,,,,,8,267,208
Hyundai Palisade,,,,,,,,,,,28736,81905
Hyundai Santa Fe,80343,76680,74391,71016,88844,107906,118134,131257,133171,117038,127373,101513
Hyundai Sonata,120028,196623,225961,230605,203648,216936,213303,199416,131803,105118,87466,76997
Hyundai Tucson,15411,39594,47232,48878,41906,47306,63591,89713,114735,153792,137381,123657
Hyundai Veloster,,,9284,34862,30711,27598,24245,30053,12658,10871,12849,6785
Hyundai Venue,,,,,,,,,,,1077,17587
Hyundai Veracruz,10210,8741,9146,8232,175,1,,,,,,
Infiniti G,47174,58143,58246,59844,36517,,,,,,,
Infiniti Q40,,,,,,15590,8605,59,,,,
Infiniti Q50,,,,,17816,36899,43874,44007,40739,34763,25987,16533
Infiniti Q60,,,,,9806,7740,3949,3970,10751,8405,5043,2793
Infiniti Q70/M,8501,14618,10818,9130,5283,5034,8449,5872,5772,4479,2552,139
Infiniti QX30,,,,,,,,2259,14093,8101,3229,149
Infiniti EX/QX50,7950,8312,6030,3495,2164,2727,5468,16973,16857,25389,18616,20885
Infiniti QX60/JX,,,,21674,31602,31192,,,,,,
Infiniti QX70/FX,11024,10420,9939,10424,6380,5213,5737,6261,6878,954,,
Infiniti QX80/QX56,6440,11918,13428,15310,13148,12935,15646,16722,17881,19207,19113,16125
Jaguar E-Pace,,,,,,,,,,5985,4782,3696
Jaguar F-Pace,,,,,,,,10016,18946,12997,15491,10891
Jaguar F-Type,,,,,2250,4112,4629,4069,4108,2268,2279,1701
Jaguar I-Pace,,,,,,,,,,393,2594,1946
Jaguar XE,,,,,,,,6656,9278,4704,3551,1686
Jaguar XF,8488,6925,5303,5526,7922,5880,5933,6665,4541,2208,1236,748
