Rank,Vehicle,Dec. 2014 YTD,Dec. 2013 YTD,% Change,Dec. 2014,Dec. 2013,% Change.1
#255,Cadillac ELR,1310,6,"21,733%",118,6,"1,867%"
#256,Audi TT,1158,2053,-43.6%,12,159,-92.5%
#257,Volkswagen Routan,1103,2109,-47.7%,—,284,-100%
#258,Volvo C70,779,3234,-75.9%,1,195,-99.5%
#259,Mercedes-Benz B-Class,776,20,"3,780%",326,2,"16,200%"
#260,Dodge Viper,760,591,28.6%,89,55,61.8%
#261,Chevrolet Trax,739,—,—,739,—,—
#262,Audi R8,735,813,-9.6%,64,70,-8.6%
#263,Subaru Tribeca,732,1598,-54.2%,9,143,-93.7%
#264,BMW i8,555,—,—,158,—,—
#265,Chevrolet City Express,530,—,—,506,—,—
#266,Mercedes-Benz SLS AMG,232,451,-48.6%,6,44,-86.4%
#267,Mercedes-Benz CL-Class,221,476,-53.6%,14,45,-68.9%
#268,Mitsubishi i-MiEV,196,1029,-81.0%,12,11,9.1%
#269,Mitsubishi Galant,122,1441,-91.5%,—,15,-100%
#270,Porsche 918 Spyder,96,—,—,39,—,—
#271,Chevrolet Avalanche,92,16526,-99.4%,2,127,-98.4%
#272,Alfa Romeo 4C,91,—,—,67,—,—
#273,Acura ZDX,78,361,-78.4%,2,14,-85.7%
#274,Volvo C30,66,1361,-95.2%,—,17,-100%
#275,Lexus LFA,17,23,-26.1%,1,1,0.0%
#276,Mercedes-Benz R-Class,8,30,-73.3%,1,—,—
#277,Mercedes-Benz CLK-Class,3,—,—,—,—,—
#278,Honda FCX,2,10,-80.0%,1,4,-75.0%
T279,Hyundai Veracruz,1,175,-99.4%,—,—,—
T279,Mazda RX-8,1,1,0.0%,—,—,—
#281,Jeep Liberty,—,6101,-100%,—,—,—
#282,Suzuki SX4,—,2859,-100%,—,—,—
#283,Suzuki Kizashi,—,1602,-100%,—,—,—
#284,Suzuki Grand Vitara,—,1037,-100%,—,—,—
#285,Suzuki Equator,—,448,-100%,—,—,—
#286,Mitsubishi Eclipse,—,109,-100%,—,—,—
#287,Dodge Caliber,—,45,-100%,—,—,—
#288,Mitsubishi Endeavor,—,24,-100%,—,—,—
#289,Cadillac DTS,—,19,-100%,—,—,—
#290,Buick Lucerne,—,9,-100%,—,—,—
#291,Cadillac STS,—,7,-100%,—,—,—
#292,Lexus HS,—,5,-100%,—,—,—
#293,Chevrolet HHR,—,3,-100%,—,—,—
T294,Chevrolet Aveo,—,2,-100%,—,—,—
T294,Honda S2000,—,2,-100%,—,—,—
T294,Honda Element,—,2,-100%,—,—,—
T294,Mazda Tribute,—,2,-100%,—,—,—
#298,Ford -Brand,2376841,2403542,-1.1%,209679,208608,0.5%
#299,Chevrolet -Brand,2033442,1947125,4.4%,184938,153493,20.5%
#300,Toyota -Brand,2004373,1893874,5.8%,171361,151763,12.9%
#301,Honda -Brand,1373029,1359876,1.0%,119472,119504,-0.1%
#302,Nissan -Brand,1269565,1131965,12.2%,105311,96526,9.1%
#303,Hyundai -Brand,725718,720783,0.7%,64507,63005,2.4%
#304,Jeep -Brand,692348,490454,41.2%,63274,53275,18.8%
#305,Kia -Brand,580234,535179,8.4%,45587,33631,35.6%
#305.1,Dodge -Brand,574155,596343,-3.7%,46578,47689,-2.3%
#306,Subaru -Brand,513693,424683,21.0%,49923,40172,24.3%
#307,GMC -Brand,501853,450901,11.3%,53038,43120,23.0%
#308,Ram -Brand,469139,367843,27.5%,48628,36028,35.0%
#309,Volkswagen -Brand,366970,407704,-10.0%,34058,34015,0.1%
#310,Mercedes-Benz -Brand,356136,334344,6.5%,37297,35837,4.1%
#311,BMW -Brand,339738,309280,9.8%,41526,37389,11.1%
#312,Lexus -Brand,311389,273847,13.7%,39879,34757,14.7%
#313,Chrysler -Brand,308785,302492,2.1%,30930,20270,52.6%
#314,Mazda -Brand,305801,283946,7.7%,24808,22964,8.0%
#315,Buick -Brand,228963,205509,11.4%,20357,15379,32.4%
#316,Audi -Brand,182011,158061,15.2%,19238,17013,13.1%
#317,Cadillac -Brand,170750,182543,-6.5%,16150,18165,-11.1%
#318,Acura -Brand,167843,165436,1.5%,17809,15751,13.1%
#319,Infiniti -Brand,117330,116455,0.8%,12007,13232,-9.3%
#320,Lincoln -Brand,94474,81694,15.6%,9690,7984,21.4%
#321,Mitsubishi -Brand,77643,62227,24.8%,6545,6423,1.9%
#322,Scion -Brand,58009,68321,-15.1%,3817,4323,-11.7%
#323,Volvo -Brand,56366,61233,-7.9%,4920,4888,0.7%
#324,Mini -Brand,56112,66502,-15.6%,6615,6592,0.3%
#325,Land Rover -Brand,51465,50010,2.9%,5754,5764,-0.2%
#326,Porsche -Brand,47007,42323,11.1%,3275,3246,0.9%
#327,Fiat -Brand,46121,43236,6.7%,3784,3745,1.0%
#328,Jaguar -Brand,15773,16952,-7.0%,1683,1544,9.0%
#329,Maserati -Brand,12943,4768,171%,1412,1053,34.1%
#330,Bentley -Brand,3003,2964,1.3%,412,442,-6.8%
#331,Suzuki -Brand,—,5946,-100%,—,—,—
—,Overall Market,16531070,15603678,5.9%,1507928,1359621,10.9%
—,—,—,—,—,—,—,—
—,Pickup Trucks,2320219,2175633,6.6%,237635,200648,18.4%
—,Minivans,556548,532357,4.5%,48459,45270,7.0%
—,Commercial Vans,356814,312045,14.3%,38920,33750,15.3%
—,"Passenger Cars, SUVs, Crossovers",13297489,12583643,5.7%,1182914,1079953,9.5%
—,—,—,—,—,—,—,—
