Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Ram ProMaster,4975,5857,-15.06,56410,46600,21.05
Ram ProMaster City,977,2183,-55.25,12919,13788,-6.3
Audi Q3,4295,620,592.74,14822,16828,-11.92
Audi Q5,6268,8143,-23.03,67516,69978,-3.52
Infiniti Q50,2165,3690,-41.33,25987,34763,-25.25
Infiniti Q60,430,662,-35.05,5043,8405,-40.0
Audi Q7,3967,4030,-1.56,34649,37417,-7.4
Infiniti Q70,90,329,-72.64,2552,4479,-43.02
Audi Q8,1711,925,84.97,14256,2029,602.61
Infiniti QX30,50,647,-92.27,3229,8101,-60.14
Infiniti QX50,1815,3329,-45.48,18616,25389,-26.68
Infiniti QX60,4113,7032,-41.51,43162,47370,-8.88
Infiniti QX80,2580,2372,8.77,19113,19207,-0.49
Audi R8,52,79,-34.18,574,927,-38.08
Land Rover Range Rover,2008,2231,-10.0,18831,19030,-1.05
Land Rover Range Rover Evoque,1372,1594,-13.93,11529,9917,16.25
Land Rover Range Rover Sport,2826,2688,5.13,25768,24282,6.12
Land Rover Range Rover Velar,1547,1555,-0.51,17087,17037,0.29
Ford Ranger,10886,0,0.0,83571,0,0.0
Toyota RAV4,41282,38669,6.76,448068,427168,4.89
Lexus RC,428,341,25.51,4591,3358,36.72
Acura RDX,6263,6838,-8.41,62876,63580,-1.11
Buick Regal,499,1050,-52.48,10363,14117,-26.59
Jeep Renegade,6459,6666,-3.11,76886,97062,-20.79
Honda Ridgeline,3757,2867,31.04,33334,30592,8.96
Kia Rio,1692,1608,5.22,24509,22975,6.68
Acura RLX,72,216,-66.67,1019,1931,-47.23
Nissan Rogue,27331,42523,-35.73,350447,412110,-14.96
Lexus RX,14069,13222,6.41,111036,111636,-0.54
Mercedes-Benz S-Class,1087,1486,-26.85,12503,14978,-16.52
Hyundai Santa Fe,10350,11347,-8.79,127373,117038,8.83
GMC Savana,1033,981,5.3,24227,19685,23.07
Kia Sedona,1463,1126,29.93,15843,17928,-11.63
Nissan Sentra,11033,17567,-37.19,184618,213046,-13.34
Toyota Sequoia,876,1131,-22.55,10289,11121,-7.48
Toyota Sienna,5176,6719,-22.96,73585,87672,-16.07
GMC Sierra,22628,22729,-0.44,232325,219554,5.82
Chevrolet Silverado,53785,54424,-1.17,575569,585582,-1.71
Mercedes-Benz SL-Class,140,158,-11.39,1791,2126,-15.76
Mercedes-Benz SLC-Class,147,152,-3.29,1916,1993,-3.86
Hyundai Sonata,7105,8705,-18.38,87466,105118,-16.79
Chevrolet Sonic,1100,934,17.77,13970,20613,-32.23
Kia Sorento,7899,8502,-7.09,96531,107846,-10.49
Kia Soul,6713,10128,-33.72,97814,104709,-6.58
Chevrolet Spark,3627,1747,107.61,31280,23603,32.53
Kia Sportage,8125,6998,16.1,88977,82823,7.43
Mercedes-Benz Sprinter,3738,3138,19.12,29757,27564,7.96
Alfa Romeo Stelvio,856,1063,-19.47,9444,12043,-21.58
Kia Stinger,1057,1289,-18.0,13884,16806,-17.39
Chevrolet Suburban,3373,5132,-34.28,51928,60633,-14.36
Toyota Supra,404,0,0.0,2884,0,0.0
Toyota Tacoma,20727,21531,-3.73,248801,245659,1.28
Chevrolet Tahoe,6942,8333,-16.69,101189,104152,-2.84
Ford Taurus,282,3475,-91.88,13423,40341,-66.73
Porsche Taycan,130,0,0.0,130,0,0.0
Kia Telluride,6824,0,0.0,58932,0,0.0
GMC Terrain,9239,10668,-13.4,101470,114311,-11.23
Volkswagen Tiguan,7931,8542,-7.15,109963,103022,6.74
Nissan Titan,1916,4661,-58.89,31514,50459,-37.55
Acura TLX,2847,2831,0.57,26548,30468,-12.87
Volkswagen Touareg,7,58,-87.93,160,2022,-92.09
Ford Transit,12145,11348,7.02,153867,137794,11.66
Ford Transit Connect,3361,3188,5.43,41597,31923,30.3
Chevrolet Traverse,11075,13350,-17.04,147122,146264,0.59
Chevrolet Trax,10878,7556,43.97,116817,89917,29.92
Audi TT,89,16,456.25,1324,1289,2.72
Toyota Tundra,8714,11216,-22.31,111673,118258,-5.57
Hyundai Tuscon,11224,15384,-27.04,137381,153792,-10.67
Lexus UX,1933,453,326.71,16723,453,3591.61
Hyundai Veloster,712,1161,-38.67,12849,10871,18.2
Hyundai Venue,787,0,0.0,1077,0,0.0
Nissan Versa,3265,6735,-51.52,66596,75809,-12.15
Chevrolet Volt,122,1710,-92.87,4911,18306,-73.17
Jeep Wrangler,17126,19800,-13.51,228042,240032,-5.0
BMW X1,1788,3411,-47.58,17815,29057,-38.69
BMW X2,1093,1454,-24.83,11293,16154,-30.09
BMW X3,8090,8511,-4.95,70110,61351,14.28
BMW X4,1333,612,117.81,8758,4323,102.59
BMW X5,7757,7323,5.93,54595,45013,21.29
BMW X6,557,483,15.32,4240,6862,-38.21
BMW X7,3159,0,0.0,21574,0,0.0
Volvo XC40,1979,1316,50.38,17647,12420,42.09
Volvo XC60,3537,3387,4.43,30578,32689,-6.46
Volvo XC90,4609,3157,45.99,35760,31609,13.13
Jaguar XE,196,443,-55.76,3551,4704,-24.51
Jaguar XF,95,153,-37.91,1236,2208,-44.02
Cadillac XT4,2928,2557,14.51,31987,7785,310.88
Cadillac XT5,3677,4586,-19.82,49878,60566,-17.65
Cadillac XT6,2361,0,0.0,11560,0,0.0
Cadillac XTS,350,1710,-79.53,11306,17729,-36.23
Toyota Yaris,932,1252,-25.56,21916,27209,-19.45
GMC Yukon,6903,8565,-19.4,74672,74678,-0.01
BMW Z4,233,0,0.0,2941,4,73425.0
Model,Month,Month LY,,YTD,YTD LY,
,"∑ = 1,459,164","∑ = 1,602,026",,"∑ = 17,002,133","∑ = 17,179,777",
