Year,Vehicle Original,Vehicle,Sales,% Change,Change,Car,Stars,Highest Star,Strong Appearance,Weak Appearance,Total Appearance,Release,Rank,Best Rank,Gross,Distributor
2016,bentley continental gt,bentley continental gt,1144,-0.327454439,Negative,2012 bentley continental gtc,1.0,1.0,0.0,2.0,2.0,The Secret Life of Pets,4.0,4.0,"$368,384,330 ",Universal Pictures
2016,bentley flying spur,bentley flying spur,400,-0.494310999,Negative,2014 bentley flying spur,1.0,1.0,0.0,1.0,1.0,Now You See Me 2,47.0,47.0,"$65,075,540 ",Lionsgate
2016,bentley mulsanne,,153,-0.211340206,Negative,,,,,,,,,,,
2016,buick enclave,,52028,-0.161933603,Negative,,,,,,,,,,,
2016,buick encore,,78565,0.163081615,Positive,,,,,,,,,,,
2016,buick lacrosse,buick lacrosse,27582,-0.343832521,Negative,2014 buick lacrosse,1.0,1.0,0.0,4.0,4.0,Central Intelligence,22.0,22.0,"$127,440,871 ",Warner Bros.
2016,buick regal,buick regal,19833,0.016868335,Positive,2011 buick regal,1.0,1.0,0.0,3.0,3.0,Ride Along 2,32.0,32.0,"$91,221,830 ",Universal Pictures
2016,buick verano,,30277,-0.050461017000000004,Negative,,,,,,,,,,,
2016,cadillac ats,,21505,-0.1997544,Negative,,,,,,,,,,,
2016,cadillac cts,cadillac cts,15911,-0.183423146,Negative,2003 cadillac cts,2.0,2.0,0.0,1.0,1.0,The Purge: Election Year,38.0,38.0,"$79,213,375 ",Universal Pictures
2016,cadillac elr,,534,-0.478515625,Negative,,,,,,,,,,,
2016,cadillac escalade,cadillac escalade,39092,0.08821646300000001,Positive,2015 cadillac escalade,3.0,3.0,2.0,9.0,11.0,Money Monster,72.0,72.0,"$41,012,075 ",TriStar Pictures
2016,cadillac srx,cadillac srx,22139,-0.678445897,Negative,2013 cadillac srx,1.0,1.0,0.0,2.0,2.0,The Purge: Election Year,38.0,38.0,"$79,213,375 ",Universal Pictures
2016,cadillac xts,cadillac xts,22171,-0.04071478,Negative,2013 cadillac xts stretched limousine,1.0,1.0,0.0,2.0,2.0,Jason Bourne,15.0,15.0,"$162,434,410 ",Universal Pictures
2016,chevrolet camaro,chevrolet camaro,72705,-0.061895177,Negative,1978 chevrolet camaro,3.0,3.0,2.0,4.0,6.0,Don't Breathe,33.0,33.0,"$89,217,875 ",Screen Gems
2016,chevrolet caprice ppv,,1021,-0.44661246600000004,Negative,,,,,,,,,,,
2016,chevrolet captiva sport,,2,-0.9636363640000001,Negative,,,,,,,,,,,
2016,chevrolet city express,,7019,-0.317417096,Negative,,,,,,,,,,,
2016,chevrolet colorado,,108725,0.287753168,Positive,,,,,,,,,,,
2016,chevrolet corvette,chevrolet corvette,29995,-0.10003300400000001,Negative,1978 chevrolet corvette c3,2.0,2.0,0.0,4.0,4.0,The Nice Guys,79.0,79.0,"$36,261,763 ",Warner Bros.
2016,chevrolet cruze,chevrolet cruze,188876,-0.166485733,Negative,2011 chevrolet cruze,1.0,1.0,0.0,6.0,6.0,Suicide Squad,9.0,9.0,"$325,100,054 ",Warner Bros.
2016,chevrolet equinox,chevrolet equinox,242195,-0.12750505199999998,Negative,2010 chevrolet equinox,1.0,1.0,0.0,3.0,3.0,Deadpool,6.0,6.0,"$363,070,709 ",Twentieth Century Fox
2016,chevrolet express,chevrolet express,68007,0.072970244,Positive,2001 chevrolet express,2.0,2.0,0.0,3.0,3.0,Manchester by the Sea,96.0,96.0,"$27,055,039 ",Roadside Attractions
2016,chevrolet impala,chevrolet impala,97006,-0.169646908,Negative,2006 chevrolet impala,2.0,2.0,0.0,24.0,24.0,Jason Bourne,15.0,15.0,"$162,434,410 ",Universal Pictures
2016,chevrolet malibu,chevrolet malibu,227881,0.16949613600000002,Positive,2013 chevrolet malibu,3.0,3.0,1.0,9.0,10.0,Sisters,76.0,76.0,"$37,921,265 ",Universal Pictures
2016,chevrolet ss,,3013,0.040759931,Positive,,,,,,,,,,,
2016,chevrolet silverado,chevrolet silverado,574876,-0.042741247999999996,Negative,2014 chevrolet silverado,3.0,3.0,1.0,7.0,8.0,Ride Along 2,32.0,32.0,"$91,221,830 ",Universal Pictures
2016,chevrolet sonic,chevrolet sonic,55255,-0.14697028199999998,Negative,2012 chevrolet sonic,1.0,1.0,0.0,1.0,1.0,Deadpool,6.0,6.0,"$363,070,709 ",Twentieth Century Fox
2016,chevrolet spark,chevrolet spark,35511,0.080905853,Positive,2013 chevrolet spark,1.0,1.0,0.0,1.0,1.0,Ride Along 2,32.0,32.0,"$91,221,830 ",Universal Pictures
2016,chevrolet suburban,chevrolet suburban,60082,0.181181929,Positive,2007 chevrolet suburban,3.0,3.0,3.0,12.0,15.0,Deadpool,6.0,6.0,"$363,070,709 ",Twentieth Century Fox
2016,chevrolet tahoe,chevrolet tahoe,103306,0.16938715399999998,Positive,2007 chevrolet tahoe,3.0,3.0,1.0,16.0,17.0,Ride Along 2,32.0,32.0,"$91,221,830 ",Universal Pictures
2016,chevrolet traverse,,116701,-0.027045728999999998,Negative,,,,,,,,,,,
2016,chevrolet trax,,79016,0.253625258,Positive,,,,,,,,,,,
2016,chevrolet volt,,24739,0.607159098,Positive,,,,,,,,,,,
2016,chrysler 200,chrysler 200,57294,-0.67792275,Negative,2015 chrysler 200,3.0,3.0,2.0,9.0,11.0,Jack Reacher: Never Go Back,55.0,55.0,"$58,546,937 ",Paramount Pictures
2016,chrysler 300,chrysler 300,53241,0.002485454,Positive,2011 chrysler 300,3.0,3.0,1.0,8.0,9.0,Ride Along 2,32.0,32.0,"$91,221,830 ",Universal Pictures
2016,chrysler town & country,chrysler town & country,59071,-0.3705673,Negative,2011 chrysler town & country,2.0,2.0,0.0,8.0,8.0,Daddy's Home,36.0,36.0,"$85,672,859 ",Paramount Pictures
2016,dodge avenger,,45,-0.964511041,Negative,,,,,,,,,,,
2016,dodge challenger,dodge challenger,64433,-0.029111731000000002,Negative,1970 dodge challenger,4.0,4.0,3.0,2.0,5.0,Bad Moms,25.0,25.0,"$113,257,297 ",STX Entertainment
2016,dodge charger,dodge charger,95437,0.007516495,Positive,2015 dodge charger,3.0,3.0,3.0,22.0,25.0,Batman v Superman: Dawn of Justice,8.0,8.0,"$330,360,194 ",Warner Bros.
2016,dodge dart,dodge dart,43402,-0.5033641520000001,Negative,2013 dodge dart,3.0,3.0,1.0,3.0,4.0,Why Him?,88.0,88.0,"$30,633,916 ",Twentieth Century Fox
2016,dodge durango,dodge durango,68474,0.066805846,Positive,2014 dodge durango,3.0,3.0,2.0,5.0,7.0,Batman v Superman: Dawn of Justice,8.0,8.0,"$330,360,194 ",Warner Bros.
2016,dodge grand caravan,dodge grand caravan,127678,0.31435748,Positive,1999 dodge grand caravan,2.0,2.0,0.0,5.0,5.0,Miracles from Heaven,52.0,52.0,"$61,705,123 ",TriStar Pictures
2016,dodge journey,dodge journey,106759,0.012893738,Positive,2009 dodge journey,1.0,1.0,0.0,1.0,1.0,Barbershop: The Next Cut,61.0,61.0,"$54,030,051 ",Warner Bros.
2016,dodge viper,,630,-0.068047337,Negative,,,,,,,,,,,
2016,fiat 500,fiat 500,15437,-0.384587785,Negative,2012 fiat 500,3.0,3.0,2.0,7.0,9.0,Inferno,84.0,84.0,"$34,221,651 ",Sony Pictures Entertainment (SPE)
2016,fiat 500l,,3118,-0.603459239,Negative,,,,,,,,,,,
2016,fiat 500x,fiat 500x,11712,0.237662475,Positive,2015 fiat 500x,3.0,3.0,2.0,0.0,2.0,Inferno,84.0,84.0,"$34,221,651 ",Sony Pictures Entertainment (SPE)
2016,ford c-max,ford c-max,19834,-0.08884601199999999,Negative,2013 ford c-max hybrid,1.0,1.0,0.0,1.0,1.0,Money Monster,72.0,72.0,"$41,012,075 ",TriStar Pictures
2016,ford e-series,ford e-,54245,0.06806726,Positive,2008 ford e-series,2.0,2.0,0.0,11.0,11.0,Lights Out,45.0,45.0,"$67,268,835 ",Warner Bros.
2016,ford edge,ford edge,134588,0.08433773800000001,Positive,2015 ford edge,2.0,2.0,0.0,1.0,1.0,Office Christmas Party,63.0,63.0,"$49,815,176 ",Paramount Pictures
2016,ford escape,ford escape,307069,0.001882594,Positive,2008 ford escape,2.0,2.0,0.0,7.0,7.0,The Secret Life of Pets,4.0,4.0,"$368,384,330 ",Universal Pictures
2016,ford expedition,ford expedition,59835,0.443790266,Positive,1997 ford expedition gen.1,2.0,2.0,0.0,3.0,3.0,Hell or High Water,97.0,97.0,"$27,007,844 ",Lionsgate
2016,ford explorer,ford explorer,248507,-0.002984943,Negative,2006 ford explorer,3.0,3.0,1.0,15.0,16.0,Central Intelligence,22.0,22.0,"$127,440,871 ",Warner Bros.
2016,ford explorer police interceptor ,,31815,0.275559298,Positive,,,,,,,,,,,
2016,ford f-series,ford f-,820799,0.051829042,Positive,2011 ford f-150,4.0,4.0,8.0,35.0,43.0,The Accountant,35.0,35.0,"$85,856,696 ",Warner Bros.
2016,ford fiesta,ford fiesta,48807,-0.24280927100000002,Negative,2000 ford fiesta mkiv,1.0,1.0,0.0,5.0,5.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,ford flex,ford flex,22668,0.158303526,Positive,2009 ford flex,4.0,4.0,1.0,3.0,4.0,Daddy's Home,36.0,36.0,"$85,672,859 ",Paramount Pictures
2016,ford focus,ford focus,168789,-0.166383508,Negative,2000 ford focus,2.0,2.0,0.0,14.0,14.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,ford fusion,ford fusion,265840,-0.114368525,Negative,2013 ford fusion,4.0,4.0,1.0,9.0,10.0,Alvin and the Chipmunks: The Road Chip,90.0,90.0,"$30,311,560 ",Twentieth Century Fox
2016,ford mustang,ford mustang,105932,-0.134181726,Negative,2015 ford mustang,3.0,3.0,2.0,14.0,16.0,Daddy's Home,36.0,36.0,"$85,672,859 ",Paramount Pictures
2016,ford taurus,ford taurus,44098,-0.09664864,Negative,1994 ford taurus,3.0,3.0,2.0,9.0,11.0,Joy,93.0,93.0,"$28,141,138 ",Twentieth Century Fox
2016,ford taurus police interceptor,,9472,-0.03000512,Negative,,,,,,,,,,,
2016,ford transit,ford transit,143244,0.21829949699999998,Positive,1971 ford transit mki,2.0,2.0,0.0,9.0,9.0,The Conjuring 2,28.0,28.0,"$102,470,008 ",Warner Bros.
2016,ford transit connect,ford transit connect,43232,-0.17213381600000002,Negative,2010 ford transit connect,2.0,2.0,0.0,3.0,3.0,My Big Fat Greek Wedding 2,54.0,54.0,"$59,689,605 ",Universal Pictures
2016,gmc acadia,gmc acadia,88466,-0.082236262,Negative,2010 gmc acadia,1.0,1.0,0.0,2.0,2.0,Batman v Superman: Dawn of Justice,8.0,8.0,"$330,360,194 ",Warner Bros.
2016,gmc canyon,gmc canyon,37449,0.245104232,Positive,2004 gmc canyon,2.0,2.0,0.0,1.0,1.0,Jack Reacher: Never Go Back,55.0,55.0,"$58,546,937 ",Paramount Pictures
