Rank,Vehicle,2016,2015,% Change,Dec. 2016,Dec. 2015,% Change.1
#198,Scion tC,9336,16459,-43.3%,102,976,-89.5%
#199,Cadillac CT6,9169,—,—,1293,—,—
#200,Lexus CT,8903,14657,-39.3%,968,1464,-33.9%
#201,Porsche 911,8901,9898,-10.1%,711,654,8.7%
#202,Audi A5,8354,12934,-35.4%,591,1000,-40.9%
#203,BMW i3,7625,11024,-30.8%,791,1422,-44.4%
#204,Toyota 86/Scion FR-S,7457,10507,-29.0%,557,588,-5.3%
#205,Buick Cascada,7153,—,—,629,—,—
#206,BMW X6,7117,7906,-10.0%,794,1547,-48.7%
#207,Maserati Ghibli,7100,7922,-10.4%,746,665,12.2%
#208,Chevrolet City Express,7019,10283,-31.7%,729,1088,-33.0%
#209,Jaguar XF,6665,5933,12.3%,486,559,-13.1%
#210,Jaguar XE,6656,—,—,1162,—,—
#211,Audi A7,6558,7721,-15.1%,811,841,-3.6%
#212,Infiniti QX70,6261,5737,9.1%,1086,697,55.8%
#213,Smart Fortwo,6211,7484,-17.0%,1186,669,77.3%
#214,Genesis G80,6166,—,—,1354,—,—
#215,Volvo V60,6132,7131,-14.0%,573,498,15.1%
#215.1,Volvo V60 *,3407,4362,-21.9%,333,296,12.5%
#215.2,Volvo V60 CC *,2725,2769,-1.6%,240,202,18.8%
#216,Nissan 370Z,5913,7391,-20.0%,368,481,-23.5%
#217,Infiniti Q70,5872,8449,-30.5%,580,786,-26.2%
#218,Lexus LX,5707,3884,46.9%,836,892,-6.3%
#219,Lexus LS,5514,7165,-23.0%,609,854,-28.7%
#220,Volvo XC70,5425,5118,6.0%,232,432,-46.3%
#221,Lincoln Continental,5261,—,—,1845,—,—
#222,BMW X4,4989,6429,-22.4%,399,884,-54.9%
#223,Lincoln MKS,4951,6877,-28.0%,215,471,-54.4%
#224,Hyundai Azera,4942,5539,-10.8%,384,358,7.3%
#225,Kia Cadenza,4738,7343,-35.5%,428,598,-28.4%
#226,Porsche Panamera,4403,4986,-11.7%,36,257,-86.0%
#227,Volkswagen Touareg,4223,7037,-40.0%,396,486,-18.5%
#228,Audi A8,4149,4990,-16.9%,501,424,18.2%
#229,Subaru BRZ,4141,5296,-21.8%,214,413,-48.2%
#230,Jaguar F-Type,4069,4629,-12.1%,388,430,-9.8%
#231,Lincoln MKT,4028,4696,-14.2%,649,406,59.9%
#232,Infiniti Q60,3970,3949,0.5%,1018,290,251%
#233,Mercedes-Benz G-Class,3950,3616,9.2%,453,541,-16.3%
#234,BMW 6-Series,3947,8146,-51.5%,348,1461,-76.2%
#235,Jaguar XJ,3834,3611,6.2%,436,207,111%
#236,Mercedes-Benz SL-Class,3722,4060,-8.3%,304,380,-20.0%
#237,Toyota Land Cruiser,3705,2687,37.9%,456,350,30.3%
#238,Porsche Cayman,3590,3561,0.8%,224,200,12.0%
#239,Mercedes-Benz SLK-Class/SLC-Class,3397,4182,-18.8%,330,290,13.8%
#240,Volkswagen CC,3237,6276,-48.4%,374,633,-40.9%
#241,Fiat 500L,3118,7585,-58.9%,102,310,-67.1%
#242,Audi TT,3044,1167,161%,252,238,5.9%
#243,Chevrolet SS,3013,2895,4.1%,94,134,-29.9%
#244,Volvo S90,2756,—,—,1127,—,—
#245,Scion xB,2677,15223,-82.4%,0,886,-100%
#246,Porsche Boxster,2670,3102,-13.9%,149,214,-30.4%
#247,Fiat 124 Spider,2475,—,—,250,—,—
#248,Honda CR-Z,2338,3073,-23.9%,160,316,-49.4%
#249,Maserati Quattroporte,2268,2398,-5.4%,193,275,-29.8%
#250,Infiniti QX30,2259,—,—,740,—,—
#251,Maserati Levante,1917,—,—,607,—,—
#252,BMW i8,1594,2265,-29.6%,133,656,-79.7%
#253,Acura RLX,1478,2195,-32.7%,192,159,20.8%
#254,Hyundai Equus,1361,2332,-41.6%,8,201,-96.0%
#255,Maserati GranTurismo,1249,1373,-9.0%,148,129,14.7%
#256,Mercedes-AMG GT,1227,1277,-3.9%,99,162,-38.9%
#257,BMW Z4,1187,1829,-35.1%,75,253,-70.4%
#258,Bentley Continental GT,1144,1701,-32.7%,123,344,-64.2%
#259,Toyota Mirai,1034,72,"1,336%",116,15,673%
#260,Chevrolet Caprice PPV,1021,1845,-44.7%,124,220,-43.6%
#261,Bentley Bentayga,884,—,—,241,—,—
#262,Kia K900,834,2524,-67.0%,80,162,-50.6%
#263,Genesis G90,782,—,—,379,—,—
#264,Audi R8,736,495,48.7%,82,15,447%
#265,Honda Crosstour,726,9104,-92.0%,—,613,-100%
#266,Nissan GT-R,698,1105,-36.8%,46,84,-45.2%
#267,Volvo S80,644,1887,-65.9%,13,176,-92.6%
#268,Mercedes-Benz B-Class,632,1906,-66.8%,54,97,-44.3%
#269,Dodge Viper,630,690,-8.7%,59,63,-6.3%
#270,Toyota Venza,589,21351,-97.2%,1,401,-99.8%
#271,Chevrolet Bolt,579,—,—,579,—,—
#272,Cadillac ELR,534,1024,-47.9%,3,135,-97.8%
#273,Alfa Romeo 4C,480,659,-27.2%,23,56,-58.9%
#274,Bentley Flying Spur,400,791,-49.4%,31,222,-86.0%
#275,Volkswagen Eos,387,2993,-87.1%,—,242,-100%
#276,Mazda 5,375,8609,-95.6%,2,299,-99.3%
#277,Acura NSX,269,—,—,68,—,—
#278,Bentley Mulsanne,153,194,-21.1%,12,15,-20.0%
#279,Mitsubishi i MiEV,94,115,-18.3%,3,9,-66.7%
#280,Mini Paceman,85,1708,-95.0%,1,38,-97.4%
#281,Honda Insight,67,1458,-95.4%,1,22,-95.5%
#282,Infiniti Q40,59,8605,-99.3%,—,31,-100%
#283,Dodge Avenger,45,1326,-96.6%,—,32,-100%
#284,Nissan Xterra,38,10672,-99.6%,—,70,-100%
#285,Alfa Romeo Giulia,36,—,—,29,—,—
#286,Ram Cargo Van,21,2183,-99.0%,—,26,-100%
#287,Nissan Cube,15,943,-98.4%,—,13,-100%
T288,Scion xD,9,794,-98.9%,—,8,-100%
T288,Toyota FJ Cruiser,9,229,-96.1%,—,3,-100%
#290,Honda FCX,8,2,300%,8,2,300%
T291,Lexus LFA,6,9,-33.3%,—,1,-100%
T291,Scion iQ,6,482,-98.8%,—,2,-100%
#293,Acura TSX,4,35,-88.6%,—,—,—
T294,Jaguar XK,3,293,-99.0%,—,1,-100%
T294,Land Rover LR2,3,77,-96.1%,—,1,-100%
T294,Mazda 2,3,297,-99.0%,—,1,-100%
#297,Chevrolet Captiva Sport,2,55,-96.4%,—,—,—
T298,Mercedes-Benz SLS AMG,1,29,-96.6%,—,—,—
T298,Porsche 918 Spyder,1,203,-99.5%,—,—,—
#300,Acura TL,—,88,-100%,—,—,—
#301,Mercedes-Benz CL-Class,—,52,-100%,—,—,—
#302,Chevrolet Avalanche,—,8,-100%,—,—,—
#303,Volvo C70,—,7,-100%,—,—,—
#304,Acura ZDX,—,2,-100%,—,—,—
#305,Ford -Brand,2487487,2501855,-0.6%,224994,226746,-0.8%
#306,Toyota -Brand,2106374,2121760,-0.7%,201945,195100,3.5%
#307,Chevrolet -Brand,2096510,2125347,-1.4%,212959,188794,12.8%
#308,Honda -Brand,1476582,1409386,4.8%,143329,134070,6.9%
#309,Nissan -Brand,1426130,1351420,5.5%,134545,124207,8.3%
#310,Jeep -Brand,926376,872908,6.1%,83159,88868,-6.4%
#311,Hyundai -Brand,768057,761710,0.8%,60572,63508,-4.6%
#312,Kia -Brand,647598,625818,3.5%,54353,54241,0.2%
